UN_Location_Code,Min_Price_Estimate_USD,Max_Price_Estimate_USD,AVG_Price_Estimate_USD
ATVIE,25.16,48.97,37.065
BEBRU,24.39,38.79,31.59
BGSOF,34.38,85.46,59.92
HRZAG,60.50,88.92,74.71
CZPRG,24.97,45.71,35.34
DKCPH,30.15,52.05,41.1
EETLL,47.82,70.87,59.345
FIHEL,32.07,45.32,38.695
FRPAR,22.85,37.45,30.15
DEBER,25.93,40.52,33.225
GRATH,32.65,51.09,41.87
HUBUD,28.81,54.35,41.58
IEDUB,25.54,46.09,35.815
ITROM,26.50,44.36,35.43
LVRIX,40.52,79.32,59.92
LTVNO,29.96,55.69,42.825
LULUX,30.73,49.93,40.33
MTMLA,48.01,57.04,52.525
NLAMS,20.74,36.49,28.615
PLWAW,32.46,50.32,41.39
PTLIS,26.89,41.29,34.09
ROBUH,24.58,43.60,34.09
SKBTS,31.30,50.51,40.905
SILJU,44.17,65.10,54.635
ESMAD,22.47,38.22,30.345
SESTO,27.27,48.01,37.64
