country_name,year,gdp
Germany,2023,"4,429.840
"
United Kingdom,2023,"3,332.060
"
France,2023,"3,049.020
"
Italy,2023,"2,186.080
"
Russia,2023,"1,862.470
"
Spain,2023,"1,582.050
"
Netherlands,2023,"1,092.750
"
Turkey,2023,"1,154.060
"
Switzerland,2023,"905.684
"
Poland,2023,"842.172
"
Belgium,2023,"624.248
"
Sweden,2023,"599.052
"
Ireland,2023,"594.095
"
Austria,2023,"515.199
"
Norway,2023,"554.105
"
Denmark,2023,"405.626
"
Romania,2023,"348.902
"
Czech Republic,2023,"330.483
"
Finland,2023,"301.670
"
Portugal,2023,"267.721
"
Kazakhstan,2023,"245.695
"
Greece,2023,"239.300
"
Hungary,2023,"188.505
"
Ukraine,2023,"148.712
"
Slovakia,2023,"127.533
"
Bulgaria,2023,"100.635
"
Luxembourg,2023,"86.971
"
Croatia,2023,"78.881
"
Serbia,2023,"73.961
"
Lithuania,2023,"78.346
"
Slovenia,2023,"68.108
"
Azerbaijan,2023,"70.030
"
Belarus,2023,"73.543
"
Latvia,2023,"47.398
"
Estonia,2023,"41.551
"
Cyprus,2023,"30.864
"
Iceland,2023,"28.625
"
Georgia,2023,"27.947
"
Bosnia and Herzegovina,2023,"28.488
"
Albania,2023,"20.177
"
Armenia,2023,"23.725
"
Malta,2023,"19.405
"
Moldova,2023,"15.829
"
North Macedonia,2023,"15.278
"
Kosovo,2023,"9.990
"
Montenegro,2023,"7.027
"
Andorra,2023,"3.669
"
San Marino,2023,"1.807
"
Liechtenstein,2023,"
"
